,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Chicago,12,259599,21633,109.7,14,17851,99.7,26,19597,104.5
1,2,Montreal,15,319320,21288,100.1,12,17972,99.0,27,19814,99.6
2,3,Detroit,16,320432,20027,100.0,10,18357,97.2,26,19384,99.0
3,4,Toronto,12,231706,19308,102.6,14,17406,95.1,26,18284,98.6
4,5,Philadelphia,12,230633,19219,98.4,14,17071,95.1,26,18062,96.7
5,6,Calgary,12,229642,19136,99.2,14,16182,91.4,26,17546,95.2
6,7,Tampa Bay,12,229104,19092,100.0,14,17170,93.9,26,18057,96.8
7,8,Minnesota,13,246991,18999,105.8,11,16705,93.0,24,17947,99.9
8,9,Pittsburgh,13,240887,18529,100.8,11,17869,99.0,24,18227,100.0
9,10,Washington,14,259084,18506,100.0,10,18235,96.1,24,18393,98.3
10,11,Vancouver,11,202237,18385,97.2,16,17368,95.4,27,17782,96.2
11,12,Los Angeles,14,255472,18248,100.1,10,16710,91.5,24,17607,96.5
12,13,St. Louis,12,218425,18202,95.1,14,17200,95.1,26,17662,95.1
13,14,Buffalo,15,272556,18170,95.3,11,16666,91.3,26,17534,93.6
14,15,Dallas,12,217373,18114,97.7,15,17492,94.5,27,17769,95.9
15,16,NY Rangers,16,288096,18006,100.0,11,18427,100.1,27,18177,100.0
16,17,Ottawa,14,245943,17567,91.7,11,16968,91.0,25,17304,91.4
17,18,Boston,12,210780,17565,100.0,12,16963,93.5,24,17264,96.7
18,19,Nashville,13,218982,16844,98.4,12,16303,90.5,25,16584,94.5
19,20,Edmonton,12,202068,16839,100.0,15,17916,96.8,27,17437,98.2
20,21,San Jose,11,181997,16545,94.2,14,16868,92.7,25,16726,93.4
21,22,Colorado,10,162181,16218,90.1,16,16358,90.9,26,16304,90.6
22,23,Anaheim,15,239776,15985,93.1,12,16294,90.3,27,16122,91.8
23,24,Winnipeg,11,168234,15294,101.9,15,17241,94.5,26,16417,97.3
24,25,Columbus,12,173129,14427,79.5,15,17744,95.9,27,16270,88.7
25,26,New Jersey,14,194942,13924,79.0,12,17416,93.0,26,15536,85.7
26,27,Arizona,10,132788,13278,77.5,16,16556,91.8,26,15295,86.5
27,28,Florida,13,169885,13068,76.7,13,17089,92.1,26,15079,84.7
28,29,NY Islanders,16,202175,12635,79.9,11,17700,94.4,27,14699,86.4
29,30,Carolina,13,141689,10899,58.3,12,17235,94.1,25,13940,75.3
