,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Bulls,8,174058,21757,104.0,8,17164,87.7,16,19460,96.1
1,2,Cavaliers,10,205620,20562,100.0,9,19142,97.9,19,19889,99.0
2,3,Mavericks,8,160894,20111,104.7,12,17564,94.2,20,18583,98.5
3,4,Raptors,7,138940,19848,100.2,13,17450,91.2,20,18289,94.4
4,5,NY Knicks,11,217932,19812,100.0,9,19014,98.8,20,19453,99.5
5,6,Heat,12,235799,19649,100.3,5,16840,84.2,17,18823,95.5
6,7,Warriors,10,195960,19596,100.0,10,18283,98.5,20,18939,99.3
7,8,Jazz,7,137088,19584,98.4,10,17026,87.0,17,18079,91.7
8,9,Trail Blazers,10,192882,19288,92.7,10,17184,91.0,20,18236,91.9
9,10,Clippers,13,248809,19139,100.4,6,17785,93.2,19,18711,98.1
10,11,Lakers,7,132979,18997,99.7,12,19287,100.2,19,19180,100.0
11,12,Spurs,10,184180,18418,99.1,10,18264,95.9,20,18341,97.5
12,13,Thunder,11,200233,18203,100.0,8,19104,99.0,19,18582,99.5
13,14,Wizards,9,162167,18018,88.9,8,17689,91.2,17,17863,89.9
14,15,Celtics,10,178459,17845,95.8,9,16595,90.1,19,17253,93.1
15,16,Rockets,12,211853,17654,97.8,8,18072,93.7,20,17821,96.1
16,17,Kings,12,208151,17345,100.2,8,16518,86.9,20,17014,94.6
17,18,Magic,10,173349,17334,92.0,9,16924,87.2,19,17140,89.7
18,19,Suns,10,173034,17303,93.9,10,16635,86.1,20,16969,89.9
19,20,Grizzlies,10,171395,17139,94.6,10,17765,94.5,20,17452,94.5
20,21,Pelicans,9,153966,17107,99.5,11,18691,97.2,20,17978,98.2
21,22,Hornets,11,181839,16530,86.7,7,18726,96.2,18,17384,90.4
22,23,Pacers,8,128716,16089,88.6,10,17705,87.9,18,16987,88.2
23,24,Hawks,12,191705,15975,85.3,10,17541,92.8,22,16687,88.7
24,25,Pistons,9,143011,15890,72.0,11,17001,90.2,20,16501,81.3
25,26,76ers,8,120191,15023,73.9,12,17271,91.2,20,16372,84.0
26,27,Nets,7,100757,14393,79.5,12,17463,93.0,19,16332,88.1
27,28,Bucks,9,127405,14156,75.6,11,16427,84.3,20,15405,80.5
28,29,Timberwolves,9,123445,13716,70.9,9,17720,93.3,18,15718,82.0
29,30,Nuggets,9,122566,13618,71.1,11,18101,95.9,20,16084,84.6
